variavel,descricao,tipo,subtipo
Size,Tamanho  da fruta(cm),quantitativa,continua
Weigth,Peso,quantitativa,continua
Brix,Nível de doçura em Brix,quantitativa,continua
pH,Nível de acidez (pH),quantitativa,continua
Softness,Classificação de suavidade (1-5),quantitativa,continua
HarvestTime,Dias desde a colheita,quantitativa,nominal
Ripeness,Maturação,quantitativa,discreta
Color,Cor da fruta,qualitativa,nominal
Variety,Variedade Laranja,qualitativa,nominal
Blemishes,Presença de manchas,qualitativa,booleano
Quality,Qualidade geral da fruta,quantitativa,discreta
